-2931,4827,156,6860,1496,16704,3
-2960,5097,941,4528,-76,19532,4
-943,1366,-230,5428,1028,16608,5
-266,1779,-1255,5024,836,16244,6
-1158,4486,-3562,4064,11864,16324,7
-7224,4612,15047,-3960,17176,13344,8
1766,-4507,17146,-36,-27280,19796,9
-3680,-3214,2751,6184,-7196,11380,10
-1066,77,-732,5320,940,16216,1
-1124,207,-213,4880,1396,17152,2
-1490,-150,-236,4892,252,16996,3
190,893,-1116,4352,3072,18256,4
2503,-5376,-7052,-5976,32767,17212,5
-16720,-4917,24675,-8632,-22048,11968,6
-626,-5215,14711,11032,-24060,14736,7
-7554,2749,-2992,11240,-15928,11568,8
4448,4288,-4396,1444,1280,17860,9
-702,35,-645,3548,-2380,16688,10
-1515,267,-230,4828,936,16996,1
-1165,247,-507,4748,952,16932,2
-1448,255,3,3692,6864,17464,3
-5742,2283,-730,2860,8512,14392,4
-8522,71,2896,944,-2036,18160,5
-197,-881,-2448,6460,-2056,15756,6
-1013,2760,828,4112,-5732,19224,7
-105,-394,-305,3940,-4112,18320,8
-1363,-2070,2560,4572,-3552,16400,9
-1494,743,2711,7016,-8320,15780,10
-972,96,-626,7500,1336,15876,1
-659,184,-357,7624,668,15988,2
-1014,98,-344,7404,1052,15980,3
-2175,206,-714,6992,1336,16560,4
-1391,-262,-720,3700,5988,19400,5
-459,-911,4611,2012,7620,17232,6
1016,1030,12347,836,3228,15188,7
-4498,-9651,15640,11684,-12824,9320,8
7934,-2484,10772,11492,-11852,10912,9
-1856,-701,954,10628,-3400,15848,10
-1318,-54,-551,6304,1124,16572,1
-802,306,-111,6280,1032,15892,2
-984,125,-326,6112,1276,17140,3
-118,-88,262,5468,3692,16688,4
456,-1268,3033,3920,5996,17000,5
-212,769,5997,4516,3688,16104,6
-3952,2046,6767,5828,296,15936,7
-2742,-2552,3607,6836,-2568,15576,8
591,-3523,6976,8084,-2980,14396,9
-2290,-5300,7215,11604,-6376,12400,10
-957,253,-377,-10248,8396,8880,0
-912,6,-321,-10228,8240,8784,0
-947,253,-298,-10196,8288,9020,0
-928,277,-350,-10156,8172,8884,0
-954,247,-332,-10308,8372,9156,0
-922,271,-308,-10224,8244,8856,0
-935,238,-317,-10232,8316,8924,0
-918,249,-317,-10352,8308,8796,0
-914,270,-314,-10240,8244,8776,0
-932,234,-307,-10176,8272,9180,0
-920,309,-583,7944,1764,15292,1
-821,-97,-386,7764,1928,15252,2
-521,-119,-1648,4944,5932,16888,3
-8071,-1609,251,80,13672,14620,4
-11030,-3101,24675,-1336,-16192,19532,5
-3323,-10967,8558,22124,-26120,6840,6
11739,11946,5398,10744,-3000,5744,7
-3993,1644,-2593,6404,-692,18160,8
-2255,-1571,195,7624,-3188,16032,9
-1138,-311,-413,8460,-4404,15208,10
-974,254,-386,-10236,8296,9088,0
-900,234,-308,-10128,8328,8796,0
-922,236,-294,-10228,8272,9020,0
-916,253,-330,-10024,8424,8984,0
-949,252,-322,-10104,8392,8904,0
-937,2,-292,-10200,8284,9044,0
-940,253,-310,-10288,8320,9196,0
-942,228,-288,-10204,8196,8964,0
-910,243,-346,-10232,8372,8812,0
-932,254,-330,-10252,8252,9040,0
-840,-338,-313,6228,-1524,16344,1
1431,-897,-986,5584,1144,17316,2
824,-2669,-4841,3184,3732,16768,3
1093,-3576,2225,1752,11664,18304,4
3633,-6784,12855,-1512,1448,26364,5
-17741,-25567,16508,12876,-18272,-264,6
5370,-2555,5959,18616,-13020,56,7
1363,6721,-1442,10944,-3496,10616,8
1226,618,-2024,13088,-4192,12608,9
278,1896,-1146,13252,-5296,11668,10
-729,1269,2222,3216,668,17060,1
-2040,-615,48,2576,2464,15872,2
-5385,-2713,710,2352,3052,15932,3
727,-3317,-268,224,6992,17520,4
-305,2169,7597,-1608,10540,24088,5
-391,3192,11981,-2188,-3996,26520,6
-5446,-8146,6726,11300,-22120,12348,7
8890,2625,2972,9248,-7764,6680,8
-4205,-1652,-2351,5184,800,18576,9
-1907,-1742,1535,6464,-636,15872,10
-991,274,-29,3748,740,17764,1
-359,-1768,-324,3480,1132,16864,2
-1117,-2593,-1177,2620,4724,17184,3
-1916,-213,3280,80,6940,18148,4
-2320,-98,6853,-896,2652,18444,5
-2365,-1232,6892,2804,-2180,26504,6
3684,-3166,8826,6112,-4832,15308,7
1466,-1031,7200,6912,-2624,13096,8
2156,1942,7800,6856,-4188,15576,9
598,132,1432,6724,-4328,15552,10
-794,-127,-799,5516,-376,16816,1
-906,-437,-1185,5492,-584,16932,2
-568,-1684,-1839,4324,864,15964,3
5083,-5214,-4802,-2208,10444,19644,4
9362,-1965,8461,-6872,26804,14788,5
-13171,-2752,32767,-2040,-28476,17196,6
-433,-6150,10538,18888,-21512,7336,7
3235,369,-833,10740,-7888,11432,8
3113,3687,-1327,6420,-1580,16244,9
-359,-107,122,7112,-3088,16192,10
653,-1202,81,3724,3040,16284,1
5398,-2667,-2129,3188,6232,15608,2
6647,-1499,-2806,-824,15372,10660,3
-825,13568,16599,152,22480,12332,4
-7337,620,26827,9660,-25536,16348,5
-997,455,1642,8524,-4672,16092,6
-907,-643,1884,5404,892,17192,7
-246,1395,-126,8284,1380,15712,8
