-1696,23,-1002,12088,8756,-10452,1
-1422,1205,91,11708,7244,-8964,1
-543,262,-426,9384,10936,-7592,0
-1244,-117,-760,9556,11412,-7964,0
-873,-197,-1073,9656,11320,-7988,0
-994,443,-176,9400,11148,-7816,0
-1208,520,-43,9836,10576,-7892,0
-862,284,-402,9628,11024,-7788,0
-1065,150,-160,9668,10712,-7856,0
-965,307,-284,9704,10756,-8116,0
-1270,127,-434,9480,10920,-7872,0
-1017,238,-142,9532,10180,-7368,0
-1726,539,-369,13244,4760,-9424,1
-1892,-230,-1999,12632,4484,-8988,1
-570,-1260,-2703,12904,3696,-10500,1
539,-1470,-1429,23824,-11620,-16540,1
11125,8246,-29222,9868,-8492,-18496,1
18948,11458,-23491,-5124,23060,-21396,1
-2544,3434,-1747,2508,21904,-11856,1
-4144,4242,5736,9996,7584,-3876,1
-1670,-2568,-2007,13096,8696,-10400,1
-856,-72,1504,12760,6308,-9448,1
-951,33,-520,12160,8004,-9100,0
-458,400,30,12216,7884,-9328,0
-1199,357,-258,12300,7776,-9124,0
-829,294,-479,12040,7168,-8724,0
-749,94,-610,12468,7772,-9444,0
-1055,367,-6,12460,7652,-8972,0
-896,7,-368,12004,7052,-8076,0
-998,168,-285,11940,7460,-8676,0
-745,43,-385,12228,7652,-8768,0
-965,259,-264,12148,7756,-9096,0
-634,601,-379,10096,5576,-10188,1
-1330,-300,-728,10496,6956,-11148,1
212,-883,795,10096,4284,-11116,1
11310,413,8241,29436,-27288,-18356,1
7702,13667,-32768,1728,156,-29540,1
-3276,9345,-18107,-10288,28328,-14616,1
-1510,5316,9938,6784,6988,-3208,1
-1918,-1305,-2782,12996,8644,-7236,1
2,989,-1564,12172,9412,-7064,1
-389,-535,-775,11556,7972,-8728,1
-338,97,-406,10544,8308,-9668,0
-333,140,-864,10348,8500,-9732,0
-680,395,-350,9820,8940,-9232,0
-393,120,-187,10416,8644,-9960,0
-1179,443,-192,10408,8788,-10640,0
-786,632,-302,10232,8680,-9556,0
-917,72,-217,10676,8716,-10588,0
-1041,730,-341,10124,8348,-9412,0
-773,369,-310,10248,8656,-10224,0
-1106,369,-329,10280,8632,-9916,0
-2086,-172,-894,11100,6820,-11508,1
-4066,1838,939,11124,7364,-10568,1
3576,841,4362,10300,-6140,-2928,1
2275,8330,-9427,25548,-9028,-32768,1
-4270,30578,-32768,6708,7412,-7792,1
2875,9136,-14033,-13180,32767,-7820,1
3603,9129,11963,3920,11380,-2824,1
-1939,-801,-1626,12808,8952,-2748,1
-1512,-195,-2835,13444,10804,-7652,1
220,-313,-1155,12636,11672,-6408,1
-824,441,-233,6764,9268,-11784,0
-1192,197,-324,6792,9252,-12024,0
-1142,240,-278,6660,9508,-11844,0
-678,398,-15,6748,9212,-11928,0
-711,242,-247,6704,9168,-11776,0
-1004,246,-323,6760,9116,-11688,0
-973,342,-233,6476,8976,-11440,0
-1012,337,-244,6704,8968,-11448,0
-782,280,-415,6600,9072,-11288,0
-1203,185,-515,6728,9320,-12012,0
-1227,-25,543,12996,4412,-8160,1
-1426,-3109,802,14740,-1748,-12708,1
1608,4136,-2939,17444,-10540,-14156,1
1032,8751,-19884,24168,-9884,-25736,1
11864,11355,-27839,-2936,24716,-1492,1
4975,6829,2620,6620,16756,-2028,1
2943,2280,-2977,11864,12100,-5204,1
-1474,-1738,-353,13496,8400,-7808,1
-1399,1091,-792,14048,7208,-7984,1
-2454,268,-568,12316,7504,-7520,1
-844,203,-273,10780,10124,-7820,0
-893,225,-296,10624,10100,-7768,0
-968,300,-288,10716,10144,-7768,0
-939,221,-353,10744,10140,-8056,0
-877,275,-13,10664,9744,-7940,0
-998,230,-327,10508,10448,-8100,0
-968,314,-361,10548,10140,-7784,0
-903,4,-12,10932,10048,-8160,0
-920,241,-299,10664,10096,-8040,0
-970,9,-397,10720,10176,-7868,0
-1570,-156,-887,11912,7380,-9424,1
